customer_id,date,data_usage_gb,is_churn_risk_truth
CUST_0001,2025-11-08,30.47,False
CUST_0001,2025-11-09,35.29,False
CUST_0001,2025-11-10,32.58,False
CUST_0001,2025-11-11,32.06,False
CUST_0001,2025-11-12,32.89,False
CUST_0001,2025-11-13,35.89,False
CUST_0001,2025-11-14,35.47,False
CUST_0001,2025-11-15,28.31,False
CUST_0001,2025-11-16,29.05,False
CUST_0001,2025-11-17,28.25,False
CUST_0001,2025-11-18,29.98,False
CUST_0001,2025-11-19,31.58,False
CUST_0001,2025-11-20,31.96,False
CUST_0001,2025-11-21,28.41,False
CUST_0001,2025-11-22,27.74,False
CUST_0001,2025-11-23,29.94,False
CUST_0001,2025-11-24,33.31,False
CUST_0001,2025-11-25,33.65,False
CUST_0001,2025-11-26,34.89,False
CUST_0001,2025-11-27,31.41,False
CUST_0001,2025-11-28,33.13,False
CUST_0001,2025-11-29,33.49,False
CUST_0001,2025-11-30,30.48,False
CUST_0001,2025-12-01,32.25,False
CUST_0001,2025-12-02,32.79,False
CUST_0001,2025-12-03,29.66,False
CUST_0001,2025-12-04,34.76,False
CUST_0001,2025-12-05,31.4,False
CUST_0001,2025-12-06,31.65,False
CUST_0001,2025-12-07,29.58,False
CUST_0001,2025-12-08,29.91,False
CUST_0001,2025-12-09,27.08,False
CUST_0001,2025-12-10,31.58,False
CUST_0001,2025-12-11,36.49,False
CUST_0001,2025-12-12,29.44,False
CUST_0001,2025-12-13,37.43,False
CUST_0001,2025-12-14,34.3,False
CUST_0001,2025-12-15,30.53,False
CUST_0001,2025-12-16,31.53,False
CUST_0001,2025-12-17,31.2,False
CUST_0001,2025-12-18,34.89,False
CUST_0001,2025-12-19,32.51,False
CUST_0001,2025-12-20,33.84,False
CUST_0001,2025-12-21,32.19,False
CUST_0001,2025-12-22,31.25,False
CUST_0001,2025-12-23,32.13,False
CUST_0001,2025-12-24,30.66,False
CUST_0001,2025-12-25,28.57,False
CUST_0001,2025-12-26,33.1,False
CUST_0001,2025-12-27,28.47,False
CUST_0001,2025-12-28,30.94,False
CUST_0001,2025-12-29,30.59,False
CUST_0001,2025-12-30,32.76,False
CUST_0001,2025-12-31,34.6,False
CUST_0001,2026-01-01,33.88,False
CUST_0001,2026-01-02,32.82,False
CUST_0001,2026-01-03,30.21,False
